  9%|████████████▎                                                                                                                         | 923/10000 [04:50<47:40,  3.17it/s]
         19479475 function calls (18666602 primitive calls) in 294.205 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 __init__.py:1645(ZipManifests)
       29    0.000    0.000    0.001    0.000 __init__.py:1645(callHandlers)
        1    0.000    0.000    0.000    0.000 __init__.py:1647(QUInt2x4Storage)
        1    0.000    0.000    0.000    0.000 __init__.py:167(c_ulong)
        1    0.000    0.000    0.000    0.000 __init__.py:1672(MemoizedZipManifests)
     1855    0.002    0.000    0.002    0.000 __init__.py:1675(getEffectiveLevel)
        1    0.000    0.000    0.000    0.000 __init__.py:1677(_manager_path)
       52    0.000    0.000    0.000    0.000 __init__.py:1689(isEnabledFor)
        1    0.000    0.000    0.000    0.000 __init__.py:1692(ZipProvider)
        1    0.000    0.000    0.003    0.003 __init__.py:17(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:171(MergeError)
        1    0.000    0.000    0.001    0.001 __init__.py:173(_load_global_deps)
     1846    0.001    0.000    0.001    0.000 __init__.py:173(_tensor_or_tensors_to_tuple)
       48    0.000    0.000    0.000    0.000 __init__.py:1739(<genexpr>)
      528    0.000    0.000    0.023    0.000 __init__.py:174(decomposition_decorator)
        1    0.000    0.000    0.000    0.000 __init__.py:1743(RootLogger)
        1    0.000    0.000    0.000    0.000 __init__.py:1749(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:175(device_of)
        1    0.000    0.000    0.000    0.000 __init__.py:176(CudnnModule)
        1    0.000    0.000    0.000    0.000 __init__.py:176(FuncResult)
        1    0.000    0.000    0.000    0.000 __init__.py:176(Path)
        1    0.000    0.000    0.000    0.000 __init__.py:176(c_int)
       22    0.000    0.000    0.001    0.000 __init__.py:176(flex_method_SERIES)
        1    0.000    0.000    0.000    0.000 __init__.py:1760(LoggerAdapter)
        1    0.000    0.000    0.000    0.000 __init__.py:177(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:177(find_package_path)
        1    0.000    0.000    0.000    0.000 __init__.py:177(script_if_tracing)
        1    0.000    0.000    0.000    0.000 __init__.py:179(AccessorRegistrationWarning)
        1    0.000    0.000    0.000    0.000 __init__.py:18(<dictcomp>)
        1    0.000    0.000    0.000    0.000 __init__.py:18(Future)
        1    0.000    0.000    0.000    0.000 __init__.py:18(IntCastingNaNError)
        1    0.000    0.000    0.000    0.000 __init__.py:180(c_uint)
        1    0.000    0.000    0.000    0.000 __init__.py:181(<dictcomp>)
        1    0.000    0.000    0.000    0.000 __init__.py:181(LegacyVersion)
        1    0.000    0.000    0.000    0.000 __init__.py:182(<listcomp>)
        1    0.000    0.000    0.000    0.000 __init__.py:183(StreamContext)
     1846    0.008    0.000   35.798    0.019 __init__.py:183(backward)
     7385    0.010    0.000    1.369    0.000 __init__.py:183(dumps)
      549    0.000    0.000    0.020    0.000 __init__.py:183(register)
        1    0.000    0.000    0.000    0.000 __init__.py:184(<dictcomp>)
        1    0.000    0.000    0.000    0.000 __init__.py:184(c_float)
        1    0.000    0.000    0.000    0.000 __init__.py:185(AbstractMethodError)
        1    0.000    0.000    0.000    0.000 __init__.py:1868(FileMetadata)
        1    0.000    0.000    0.000    0.000 __init__.py:188(c_double)
       87    0.000    0.000    0.001    0.000 __init__.py:1888(get_aten_op)
        1    0.000    0.000    0.000    0.000 __init__.py:1891(_TorchCompileInductorWrapper)
        1    0.000    0.000    0.003    0.003 __init__.py:19(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:1909(PathMetadata)
        1    0.000    0.000    0.000    0.000 __init__.py:192(c_longdouble)
      304    0.000    0.000    0.000    0.000 __init__.py:1929(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:193(DidNotEnable)
      271    0.000    0.000    0.000    0.000 __init__.py:193(_checkLevel)
        1    0.000    0.000    0.000    0.000 __init__.py:1934(EggMetadata)
        4    0.000    0.000    0.000    0.000 __init__.py:1952(register_finder)
       14    0.000    0.000    0.000    0.000 __init__.py:1962(find_distributions)
        1    0.000    0.000    0.000    0.000 __init__.py:1964(_TorchCompileWrapper)
        1    0.000    0.000    0.000    0.000 __init__.py:1969(CUDARngStateHelper)
        2    0.000    0.000    0.000    0.000 __init__.py:1999(find_nothing)
